sofifa_id,long_name,player_positions,overall,age,height_cm,club_name,nationality_name,pace,shooting,passing,defending,physic,power_shot_power,club_jersey_number
158023,Lionel Andrés Messi Cuccittini,"RW, ST, CF",93,34,170,Paris Saint-Germain,Argentina,85.0,92.0,91.0,34.0,65.0,86,30.0
188545,Robert Lewandowski,ST,92,32,185,FC Bayern München,Poland,78.0,92.0,79.0,44.0,82.0,90,9.0
20801,Cristiano Ronaldo dos Santos Aveiro,"ST, LW",91,36,187,Manchester United,Portugal,87.0,94.0,80.0,34.0,75.0,94,7.0
190871,Neymar da Silva Santos Júnior,"LW, CAM",91,29,175,Paris Saint-Germain,Brazil,91.0,83.0,86.0,37.0,63.0,80,10.0
192985,Kevin De Bruyne,"CM, CAM",91,30,181,Manchester City,Belgium,76.0,86.0,93.0,64.0,78.0,91,17.0
200389,Jan Oblak,GK,91,28,188,Atlético de Madrid,Slovenia,,,,,,59,13.0
231747,Kylian Mbappé Lottin,"ST, LW",91,22,182,Paris Saint-Germain,France,97.0,88.0,80.0,36.0,77.0,86,7.0
167495,Manuel Peter Neuer,GK,90,35,193,FC Bayern München,Germany,,,,,,68,1.0
192448,Marc-André ter Stegen,GK,90,29,187,FC Barcelona,Germany,,,,,,66,1.0
215914,N'Golo Kanté,"CDM, CM",90,30,168,Chelsea,France,78.0,66.0,75.0,87.0,83.0,71,7.0
165153,Karim Benzema,"CF, ST",89,33,185,Real Madrid CF,France,76.0,86.0,81.0,39.0,77.0,85,9.0
192119,Thibaut Courtois,GK,89,29,199,Real Madrid CF,Belgium,,,,,,56,1.0
200145,Carlos Henrique Venancio Casimiro,CDM,89,29,185,Real Madrid CF,Brazil,65.0,73.0,76.0,86.0,90.0,88,14.0
203376,Virgil van Dijk,CB,89,29,193,Liverpool,Netherlands,78.0,60.0,71.0,91.0,84.0,81,4.0
208722,Sadio Mané,LW,89,29,175,Liverpool,Senegal,91.0,83.0,80.0,44.0,77.0,83,10.0
209331,Mohamed Salah Ghaly,RW,89,29,175,Liverpool,Egypt,90.0,87.0,81.0,45.0,75.0,82,11.0
210257,Ederson Santana de Moraes,GK,89,27,188,Manchester City,Brazil,,,,,,70,31.0
212622,Joshua Walter Kimmich,"CDM, RB",89,26,177,FC Bayern München,Germany,70.0,73.0,86.0,83.0,79.0,78,6.0
